sorter,plate,IFA_Neospora,diagnosis_neo,neo_status,toxo_status,spratio,diagnosis_toxo,hum.pop.den,sample,antiquity,kay.code,hy.id,avg_min_dist,dart.date,sample.origin,notes.appearance,dart.year,dob.date,dob.event.data,disappeared.date,disappeared.event.status,disappeared.event.data,sex,status,mom,dad,number.littermates,litrank,toxo.status,age.mon.dart,dob.yr,age.cat.dart,hum.dist.dob,rank.dart,stan.rank.dart
97,plate4,400,low,negative,negative,0.47,doubtful,low,4860,1990s,90,gan,25,6/7/92,blood,NA,1992,10/30/88,talek,8/2/94,dls,inferred dead,f,r,es,NA,1,2,0,43.2,1988,adult,low,18,-0.888888889
11,plate2,400,low,negative,negative,0.47,doubtful,hi,5571,2000s,781,juno,50.25,5/28/12,blood,NA,2012,4/20/08,talek,NA,dls,double check: alive but with disappeared date,f,r,mrph,NA,1,1,0,49.2,2008,adult,NA,5,0.84
72,plate3,1600,high,positive,negative,0.47,doubtful,low,4989,1990s,21,sy,43.81818182,12/19/90,blood,frozen on side,1990,NA,talek,2/12/97,dls,fate unknown,m,i,NA,NA,NA,NA,0,NA,NA,adult,NA,NA,NA
17,plate2,200,low,negative,negative,0.48,doubtful,hi,7886,2000s,555,tnks,50,8/8/14,blood,NA,2014,3/15/13,talek,NA,dls,double check: alive but with disappeared date,f,r,alfe,NA,0,NA,0,16.8,2013,subadult,hi,NA,NA
57,plate3,400,low,negative,negative,0.48,doubtful,low,4109,1990s,107,will,20,4/26/94,blood,frozen on side,1994,NA,talek,12/23/96,dls,dispersed,m,i,NA,NA,NA,NA,0,NA,NA,adult,NA,NA,NA
64,plate3,800,high,positive,negative,0.48,doubtful,low,4059,1990s,172,pos,55,7/8/96,blood,p frozen on side; min1,1996,NA,talek,3/25/99,dls,fate unknown,m,i,NA,NA,NA,NA,0,NA,NA,adult,NA,NA,NA
59,plate3,400,low,negative,negative,0.49,doubtful,low,7074,1990s,112,mike,30,6/10/94,blood,red; tube incorrectly says '628' and '10/5/11',1994,NA,talek,11/19/97,dead,lions,m,i,NA,NA,NA,NA,0,NA,NA,adult,NA,NA,NA
23,plate2,800,high,positive,negative,0.49,doubtful,hi,4812,2000s,652,neon,12.5,6/15/12,blood,NA,2012,12/26/10,talek,NA,dls,double check: alive but with disappeared date,f,r,yog,NA,0,NA,1,17.6,2010,subadult,NA,NA,NA
32,plate2,1600,high,positive,positive,0.5,positive,hi,3765,2000s,837,zion,36.66666667,6/18/12,blood,NA,2012,2/19/10,talek,5/6/13,dls,inferred dead,f,r,sbl,NA,1,2,1,27.9,2010,adult,NA,23,0.12
156,plate5,200,low,negative,positive,0.51,positive,low,4046,1990s,283,zim,20,11/7/99,blood,NA,1999,11/29/98,talek,12/12/02,dls,inferred dead,f,r,cr,zig,1,1,1,11.3,1998,cub,low,19,-0.2
20,plate2,800,high,positive,positive,0.51,positive,hi,4791,2000s,636,bora,11,6/1/12,blood,NA,2012,12/23/10,talek,6/19/18,dls,,f,r,art,NA,0,NA,1,17.3,2010,subadult,NA,NA,NA
140,plate4,800,high,positive,positive,0.51,positive,low,5043,1990s,208,darw,20.33333333,6/11/97,blood,NA,1997,7/1/96,talek,7/5/02,dls,,m,r,jb,fa,0,NA,1,11.3,1996,cub,low,3,0.857142857
42,plate2,800,high,positive,positive,0.51,positive,low,3667,2000s,1048,digs,,6/21/13,blood,white,2013,NA,serena.n,3/31/15,dead,,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,4,0.7
119,plate4,400,low,negative,positive,0.52,positive,low,5604,1990s,106,jj,62.5,8/12/93,blood,no id on sample,1993,9/15/92,talek,1/29/03,dead,,f,r,dj,zip,1,2,1,10.9,1992,cub,low,4,0.7
39,plate2,1600,high,positive,positive,0.52,positive,low,4042,2000s,1020,tnsl,,6/19/12,blood,p frozen on side,2012,NA,serena.n,6/12/14,dls,fate unknown,f,r,elf?,NA,NA,NA,1,NA,NA,adult,low,16,-0.5
16,plate2,1600,high,positive,positive,0.52,positive,hi,4154,2000s,848,ziti,125.6666667,6/5/13,blood,NA,2013,4/3/10,talek,NA,dls,double check: alive but with disappeared date,m,r,guci,NA,1,2,1,38.1,2010,adult,NA,NA,NA
43,plate2,1600,high,positive,positive,0.53,positive,low,6950,2000s,1088,shrm,,2/8/13,blood,NA,2013,NA,serena.n,10/16/16,dead,unknown,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,6,0.5
133,plate4,1600,high,positive,positive,0.54,positive,low,5541,1990s,169,jone,40,6/8/96,blood,NA,1996,8/1/95,talek,5/25/97,dls,inferred dead,f,r,jab,fn,1,1,1,10.2,1995,cub,low,6,0.655172414
83,plate3,1600,high,positive,positive,0.54,positive,low,3836,1990s,28,quai,44.2,12/28/90,blood,NA,1990,NA,talek,6/21/93,dls,fate unknown,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
30,plate2,100,low,negative,positive,0.55,positive,hi,6965,2000s,688,xena,25,5/5/13,blood,NA,2013,11/25/11,talek,11/12/14,dls,,m,r,loki,NA,0,NA,1,17.3,2011,subadult,NA,NA,NA
6,plate2,200,low,negative,positive,0.55,positive,hi,7235,2000s,707,tilt,22.75,5/22/12,blood,NA,2012,7/20/08,talek,NA,dls,double check: alive but with disappeared date,f,r,ffl,NA,1,1,1,46.1,2008,adult,NA,35,-0.36
93,plate4,400,low,negative,positive,0.55,positive,low,4335,1990s,61,es,30,8/22/91,blood,NA,1991,6/1/84,talek,5/7/96,dls,inferred dead,f,r,11,NA,NA,NA,1,86.7,1984,adult,low,17,-0.6
98,plate4,50,low,negative,positive,0.56,positive,low,5695,1990s,991,hg,62.5,8/17/99,blood,edta,1999,9/15/92,talek,1/22/03,dls,inferred dead,f,r,dj,zip,1,1,1,83,1992,adult,low,11,0.333333333
62,plate3,800,high,positive,positive,0.56,positive,low,5551,1990s,164,stg,21.5,7/2/97,blood,NA,1997,NA,talek,9/20/99,dls,dispersed,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
135,plate4,800,high,positive,positive,0.57,positive,low,6592,1990s,197,mrph,31.91666667,6/7/97,blood,NA,1997,6/25/96,talek,4/10/11,dead,lions,f,r,bsh,NA,1,1,1,11.4,1996,cub,low,1,1
102,plate5,400,low,negative,positive,0.58,positive,low,5313,1990s,286,ath,49.5,11/26/99,blood,NA,1999,11/20/98,talek,3/31/04,dead,snake bite,f,r,mrph,NA,1,1,1,12.2,1998,subadult,low,NA,NA
41,plate2,400,low,negative,positive,0.58,positive,low,12112,2000s,1036,ema,,7/7/12,blood,cream; normal,2012,NA,serena.n,3/13/16,dls,fate unknown,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,17,-0.6
74,plate3,800,high,positive,positive,0.58,positive,low,5996,1990s,225,vgs,56.21428571,3/5/99,blood,edta;min1,1999,NA,talek,1/25/06,dead,snakebite?,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
15,plate2,NA,,,positive,0.58,positive,hi,4171,2000s,845,buar,38.2,5/26/12,blood,NA,2012,12/18/09,talek,NA,dls,double check: alive but with disappeared date,f,r,hel,NA,1,2,1,29.2,2009,adult,NA,3,0.92
84,plate3,400,low,negative,positive,0.59,positive,low,5745,1990s,30,dj,42.13333333,1/19/91,blood,pink,1991,11/15/85,talek,10/27/96,dls,lions,f,r,n2,NA,NA,NA,1,62.1,1985,adult,low,3,0.8
91,plate4,400,low,negative,positive,0.59,positive,low,7322,1990s,52,fn,24.25,7/11/91,blood,NA,1991,NA,talek,6/24/99,dls,fate unknown,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
88,plate3,1600,high,positive,positive,0.59,positive,low,4368,1990s,39,kb,16.1,2/28/91,blood,pink,1991,1/1/78,talek,6/23/95,dls,inferred dead,f,r,NA,NA,NA,NA,1,157.9,1978,adult,low,2,0.9
131,plate4,400,low,negative,positive,0.6,positive,low,5525,1990s,160,amar,22.66666667,10/25/95,blood,NA,1995,1/25/95,talek,6/13/03,dls,inferred dead,f,r,ua,fn,1,1,1,9,1995,cub,low,17,-0.103448276
138,plate4,400,low,negative,positive,0.6,positive,low,5035,1990s,206,gonz,144,6/9/97,blood,NA,1997,9/6/96,talek,3/20/99,dls,dispersed,m,r,hob,tz,0,NA,1,9.1,1996,cub,low,24,-0.642857143
67,plate3,400,low,negative,positive,0.6,positive,low,4118,1990s,179,sim,37.5,7/28/96,blood,tube incorrectly says 7/29 but it's actually 7/28; min1,1996,NA,talek,3/17/00,dls,humans (us),m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
63,plate3,800,high,positive,positive,0.61,positive,low,3869,1990s,167,gob,38.75,7/17/97,blood,"no datre on tube, looked at tbldarting",1997,NA,talek,6/9/02,dls,dispersed,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
128,plate4,100,low,negative,positive,0.62,positive,low,7778,1990s,140,mh,65,3/6/95,blood,NA,1995,6/22/94,talek,3/12/96,,,f,r,bb,NA,1,1,1,8.4,1994,cub,low,6,0.655172414
111,plate5,200,low,negative,positive,0.62,positive,low,4094,1990s,243,yet,1,10/20/98,blood,NA,1998,7/9/97,talek,3/13/01,dls,dispersed,m,r,kip,mike,1,1,1,15.4,1997,subadult,low,NA,NA
165,plate5,400,low,negative,positive,0.62,positive,low,4883,1990s,98,krk,14.16666667,12/9/92,blood,NA,1992,1/10/92,talek,2/6/94,dls,dispersed,m,r,kb,mrb,1,1,1,11,1992,cub,low,3,0.777777778
1,plate1,800,high,positive,positive,0.62,positive,hi,3663,2000s,698,odd,15,6/25/13,blood,white,2013,1/3/12,talek,NA,dls,double check: alive but with disappeared date,f,r,mgta,NA,1,1,1,17.7,2012,subadult,hi,NA,NA
8,plate2,800,high,positive,positive,0.62,positive,hi,7563,2000s,755,pan,23.125,5/8/12,blood,NA,2012,5/20/04,talek,3/21/13,dead,,f,r,mrph,NA,1,1,1,95.6,2004,adult,NA,8,0.72
46,plate2,1600,high,positive,positive,0.62,positive,low,13634,2000s,1190,mchl,,7/16/15,blood,"cream; normal; says ""junk plasma 4""",2015,11/17/12,serena.n,8/31/16,dls,,m,r,ele,NA,1,1,1,31.9,2012,adult,low,NA,NA
44,plate2,800,high,positive,positive,0.63,positive,low,6999,2000s,1095,hndy,,6/29/12,blood,NA,2012,1/1/08,serena.n,3/27/14,dls,,f,r,shrm,NA,NA,NA,1,53.9,2008,adult,low,13,-0.2
149,plate4,200,low,negative,positive,0.64,positive,low,4616,1990s,262,cpa,15.6,7/4/99,blood,NA,1999,11/18/98,talek,2/9/02,dls,dispersed,m,r,sx,gob,0,NA,1,7.5,1998,cub,low,18,-0.133333333
35,plate2,200,low,negative,positive,0.64,positive,low,7799,2000s,1156,ring,,1/29/15,blood,NA,2015,11/30/09,happy.zebra,NA,,,f,r,ao,NA,1,1,1,62,2009,adult,low,18,-0.888888889
94,plate4,400,low,negative,positive,0.64,positive,low,7475,1990s,66,pb,5,9/16/91,blood,NA,1991,11/1/87,talek,11/5/95,dls,unknown,m,r,bsh,46,0,1,1,46.5,1987,adult,low,NA,NA
69,plate3,800,high,positive,positive,0.64,positive,low,7446,1990s,183,bos,26.88888889,1/22/97,blood,"""min0""",1997,NA,talek,6/28/02,dls,fate unknown,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
58,plate3,200,low,negative,positive,0.65,positive,low,4378,1990s,11,dave,10,8/3/90,blood,NA,1990,9/15/86,talek,11/12/90,dls,dispersed,m,r,27,NA,1,NA,1,46.6,1986,adult,low,NA,NA
109,plate5,200,low,negative,positive,0.65,positive,low,6016,1990s,223,sks,20,7/31/97,blood,NA,1997,10/16/95,talek,4/21/98,dls,dispersed,m,r,ot,rcn,1,2,1,21.5,1995,subadult,low,NA,NA
66,plate3,800,high,positive,positive,0.65,positive,low,5682,1990s,178,bp,38.6,7/15/97,blood,edta; pink; frozen on side,1997,NA,talek,4/15/02,dls,dispersed,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
26,plate2,800,high,positive,positive,0.65,positive,hi,6944,2000s,660,gsmk,7.666666667,5/24/13,blood,pink,2013,12/2/11,talek,8/17/13,dls,inferred dead,f,r,sbl,NA,1,2,1,17.7,2011,subadult,NA,NA,NA
114,plate5,100,low,negative,positive,0.66,positive,low,4588,1990s,265,foz,35,8/19/99,blood,NA,1999,12/15/97,talek,3/28/11,dead,lions,m,r,hob,mike,1,NA,1,20.1,1997,subadult,low,NA,NA
78,plate3,400,low,negative,positive,0.66,positive,low,5395,1990s,240,mer,65,8/1/99,blood,frozen on side,1999,NA,,9/21/04,dls,fate unknown,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
28,plate2,100,low,negative,positive,0.67,positive,hi,3773,2000s,665,bata,20,6/2/13,blood,NA,2013,11/16/11,talek,12/20/13,dls,dispersed,m,r,hex,NA,1,2,1,18.5,2011,subadult,NA,NA,NA
47,plate2,1600,high,positive,positive,0.67,positive,low,7789,2000s,1137,uzi,,3/19/15,blood,NA,2015,8/21/12,serena.n,3/11/16,dls,double check: alive but with disappeared date,m,r,angi,NA,0,NA,1,30.9,2012,adult,low,NA,NA
38,plate2,100,low,negative,positive,0.68,positive,low,4035,2000s,1015,peep,,6/30/12,blood,NA,2012,NA,serena.n,1/24/13,dls,,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,3,0.8
25,plate2,800,high,positive,positive,0.68,positive,hi,10098,2000s,659,brgr,30,5/28/13,blood,"cream; normal, challenge darting - 14 min, date on vial says 6/3/15",2013,10/30/11,talek,NA,dls,double check: alive but with disappeared date,f,r,cen,NA,1,1,1,18.9,2011,subadult,NA,NA,NA
53,plate3,800,high,positive,positive,0.68,positive,low,3780,2000s,1092,clov,,6/24/12,blood,NA,2012,NA,serena.s,8/24/16,dls,fate unknown,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,2,0.875
60,plate3,800,high,positive,positive,0.68,positive,low,4308,1990s,12,sher,55,8/7/90,blood,pink,1990,8/1/87,talek,6/27/01,dls,fate unknown,m,r,kb,65,0,1,1,36.2,1987,adult,low,NA,NA
4,plate1,200,low,negative,positive,0.69,positive,hi,3748,2000s,632,atac,21.36363636,6/13/12,blood,NA,2012,2/15/09,talek,NA,dls,double check: alive but with disappeared date,f,r,hel,NA,1,2,1,39.9,2009,adult,NA,7,0.76
162,plate5,100,low,negative,positive,0.7,positive,low,6141,1990s,83,bern,150,7/19/93,blood,NA,1993,10/1/92,talek,9/4/00,dls,lions,f,r,lg,hol,0,1,1,9.6,1992,cub,low,20,-0.9
22,plate2,200,low,negative,positive,0.7,positive,hi,4795,2000s,648,endr,15,5/25/12,blood,NA,2012,11/1/10,talek,4/3/14,dead,poison (april 2014 incident),m,r,loki,NA,1,2,1,18.8,2010,subadult,NA,NA,NA
85,plate3,400,low,negative,positive,0.7,positive,low,4557,1990s,33,ap,10,1/21/91,blood,NA,1991,6/15/88,talek,5/26/95,,,m,r,coch,NA,0,1,1,31.2,1988,adult,low,NA,NA
24,plate2,800,high,positive,positive,0.7,positive,hi,3695,2000s,658,gala,80,9/4/13,blood,white,2013,1/6/12,talek,4/12/14,dead,humans (poison - april 2014),f,r,hel,NA,0,NA,1,19.9,2012,subadult,hi,NA,NA
3,plate1,800,high,positive,positive,0.7,positive,hi,4280,2000s,604,hel,19.71428571,5/6/12,blood,NA,2012,2/1/06,talek,NA,dls,double check: alive but with disappeared date,f,r,mrph,NA,NA,NA,1,75.1,2006,adult,NA,2,0.96
157,plate5,200,low,negative,positive,0.71,positive,low,4077,1990s,290,cyp,50,12/18/99,blood,collected from dead hyena,1999,5/13/99,talek,12/18/99,dead,lions,m,r,bern,NA,1,1,1,7.2,1999,cub,low,31,-1
